The Godfather,(1972),"Crime, Drama"
The Shawshank Redemption,(1994),Drama
Schindler's List,(1993),"Biography, Drama, History"
Raging Bull,(1980),"Biography, Drama, Sport"
Casablanca,(1942),"Drama, Romance, War"
Citizen Kane,(1941),"Drama, Mystery"
Gone with the Wind,(1939),"Drama, Romance, War"
The Wizard of Oz,(1939),"Adventure, Family, Fantasy"
One Flew Over the Cuckoo's Nest,(1975),Drama
Lawrence of Arabia,(1962),"Adventure, Biography, Drama"
Vertigo,(1958),"Mystery, Romance, Thriller"
Psycho,(1960),"Horror, Mystery, Thriller"
The Godfather Part II,(1974),"Crime, Drama"
On the Waterfront,(1954),"Crime, Drama, Thriller"
Sunset Blvd.,(1950),"Drama, Film-Noir"
Forrest Gump,(1994),"Drama, Romance"
The Sound of Music,(1965),"Biography, Drama, Family"
12 Angry Men,(1957),"Crime, Drama"
West Side Story,(1961),"Crime, Drama, Musical"
Star Wars,(1977),"Action, Adventure, Fantasy"
2001: A Space Odyssey,(1968),"Adventure, Sci-Fi"
E.T.,(1982),"Adventure, Family, Sci-Fi"
The Silence of the Lambs,(1991),"Crime, Drama, Thriller"
Chinatown,(1974),"Drama, Mystery, Thriller"
The Bridge on the River Kwai,(1957),"Adventure, Drama, War"
Singin' in the Rain,(1952),"Comedy, Musical, Romance"
It's a Wonderful Life,(1946),"Drama, Family, Fantasy"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),"Comedy, War"
Some Like It Hot,(1959),"Comedy, Music, Romance"
Ben-Hur,(1959),"Adventure, Drama"
Apocalypse Now,(1979),"Drama, Mystery, War"
Amadeus,(1984),"Biography, Drama, Music"
The Lord of the Rings: The Return of the King,(2003),"Action, Adventure, Drama"
Gladiator,(2000),"Action, Adventure, Drama"
Titanic,(1997),"Drama, Romance"
From Here to Eternity,(1953),"Drama, Romance, War"
Saving Private Ryan,(1998),"Drama, War"
Unforgiven,(1992),"Drama, Western"
Raiders of the Lost Ark,(1981),"Action, Adventure"
Rocky,(1976),"Drama, Sport"
A Streetcar Named Desire,(1951),Drama
The Philadelphia Story,(1940),"Comedy, Romance"
To Kill a Mockingbird,(1962),"Crime, Drama"
An American in Paris,(1951),"Drama, Musical, Romance"
The Best Years of Our Lives,(1946),"Drama, Romance, War"
My Fair Lady,(1964),"Drama, Family, Musical"
A Clockwork Orange,(1971),"Crime, Sci-Fi"
Doctor Zhivago,(1965),"Drama, Romance, War"
The Searchers,(1956),"Adventure, Drama, Western"
Jaws,(1975),"Adventure, Thriller"
Patton,(1970),"Biography, Drama, War"
Butch Cassidy and the Sundance Kid,(1969),"Biography, Crime, Drama"
The Treasure of the Sierra Madre,(1948),"Adventure, Drama, Western"
"The Good, the Bad and the Ugly",(1966),"Adventure, Western"
The Apartment,(1960),"Comedy, Drama, Romance"
Platoon,(1986),"Drama, War"
High Noon,(1952),"Drama, Thriller, Western"
Braveheart,(1995),"Biography, Drama, History"
Dances with Wolves,(1990),"Adventure, Drama, Western"
Jurassic Park,(1993),"Action, Adventure, Sci-Fi"
The Exorcist,(1973),Horror
The Pianist,(2002),"Biography, Drama, Music"
Goodfellas,(1990),"Biography, Crime, Drama"
The Deer Hunter,(1978),"Drama, War"
All Quiet on the Western Front,(1930),"Drama, War"
Bonnie and Clyde,(1967),"Action, Biography, Crime"
The French Connection,(1971),"Action, Crime, Drama"
City Lights,(1931),"Comedy, Drama, Romance"
It Happened One Night,(1934),"Comedy, Romance"
A Place in the Sun,(1951),"Drama, Romance"
Midnight Cowboy,(1969),Drama
Mr. Smith Goes to Washington,(1939),"Comedy, Drama"
Rain Man,(1988),Drama
Annie Hall,(1977),"Comedy, Romance"
Fargo,(1996),"Crime, Thriller"
Giant,(1956),"Drama, Western"
Shane,(1953),"Drama, Western"
The Grapes of Wrath,(1940),Drama
The Green Mile,(1999),"Crime, Drama, Fantasy"
Close Encounters of the Third Kind,(1977),"Drama, Sci-Fi"
Nashville,(1975),"Comedy, Drama, Music"
Network,(1976),Drama
The Graduate,(1967),"Comedy, Drama, Romance"
American Graffiti,(1973),"Comedy, Drama"
Pulp Fiction,(1994),"Crime, Drama"
Terms of Endearment,(1983),"Comedy, Drama"
Good Will Hunting,(1997),"Drama, Romance"
The African Queen,(1951),"Adventure, Drama, Romance"
Stagecoach,(1939),"Adventure, Drama, Western"
Mutiny on the Bounty,(1935),"Adventure, Biography, Drama"
The Great Dictator,(1940),"Comedy, Drama, War"
Double Indemnity,(1944),"Crime, Drama, Film-Noir"
The Maltese Falcon,(1941),"Crime, Film-Noir, Mystery"
Wuthering Heights,(1939),"Drama, Romance"
Taxi Driver,(1976),"Crime, Drama"
Rear Window,(1954),"Mystery, Thriller"
The Third Man,(1949),"Film-Noir, Mystery, Thriller"
Rebel Without a Cause,(1955),Drama
North by Northwest,(1959),"Action, Adventure, Mystery"
Yankee Doodle Dandy,(1942),"Biography, Drama, Family"
